,loan_id,user_id,total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,censor_status,issue_date,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,app_type,earlies_credit_mon,title,policy_code,f0,f1,f2,f3,f4,early_return,early_return_amount,early_return_amount_3mon,isDefault
55,1005750,205750,10000.0,3,10.791,365.31,B,普通企业,文化和体育业,< 1 year,1,1,2014/4/1,0,79,2,21.73909091,0,780.0,910.0,12,0,0.0,13071.0,63.11538462,1,0,Jul-95,0,1,8.0,0.0,6.0,19.0,11.0,0,1981,396.2,0
56,1008411,208411,21436.36364,3,10.791,652.57,B,普通企业,信息传输、软件和信息技术服务业,3 years,1,0,2014/3/1,0,184,26,19.53636364,0,627.2727273,731.8181818,8,0,0.0,14072.30769,61.9,1,0,2-Mar,0,1,5.0,0.0,6.0,8.0,4.0,2,798,239.4,0
58,1016136,216136,2100.0,3,11.44,69.19,B,普通企业,信息传输、软件和信息技术服务业,10+ years,0,2,2014/12/1,5,124,13,7.79,4,618.1818182,721.2121212,20,1,0.0,6664.615385,25.66153846,0,0,Dec-94,6,1,9.0,0.0,2.0,27.0,8.0,0,0,0.0,1
59,1023895,223895,9218.181818,3,16.99,301.23,D,普通企业,文化和体育业,,1,2,2015/11/1,0,232,13,12.61636364,0,640.9090909,694.3181818,5,0,0.0,11884.61538,72.0,0,0,Sep-94,0,1,3.0,0.0,4.0,7.0,4.0,0,0,0.0,1
60,1024040,224040,8181.818182,3,7.371,314.25,A,世界五百强,文化和体育业,10+ years,1,2,2015/2/1,0,111,8,15.74,0,552.2727273,690.3409091,14,0,0.0,15355.84615,62.0,1,0,3-Jul,0,1,11.0,0.0,5.0,24.0,12.0,0,0,0.0,1
61,1018968,218968,4581.818182,3,13.519,140.09,C,普通企业,公共服务、社会组织,10+ years,1,1,2015/9/1,3,590,8,8.427272727,0,680.0,736.6666667,9,0,0.0,4276.0,48.34615385,1,0,May-94,3,1,5.0,0.0,5.0,16.0,7.0,2,691,69.1,0
63,1016985,216985,10400.0,5,19.338,261.73,D,上市企业,电力、热力生产供应业,10+ years,1,2,2011/9/1,1,143,8,8.93,0,593.1818182,741.4772727,8,1,1.0,921.8461538,5.423076923,1,0,1-Apr,4663,1,,,,,,0,0,0.0,1
64,1024983,224983,9818.181818,5,13.545,285.8,C,高等教育机构,文化和体育业,,2,0,2018/1/1,3,45,21,2.438181818,0,763.6363636,890.9090909,6,0,0.0,552.6923077,6.461538462,0,0,4-Oct,3,1,4.0,0.0,3.0,9.0,3.0,0,0,0.0,1
65,1025589,225589,9454.545455,3,12.99,269.52,B,世界五百强,金融业,8 years,1,2,2013/10/1,0,261,8,18.72,1,680.0,793.3333333,14,0,0.0,20673.69231,62.42307692,1,0,Nov-99,28914,1,8.0,0.0,2.0,14.0,8.0,1,1652,330.4,0
66,1036802,236802,7500.0,3,17.919,264.76,C,幼教与中小学校,电力、热力生产供应业,10+ years,1,0,2013/6/1,4,313,43,11.97818182,0,747.2727273,809.5454545,9,1,1.0,5123.0,31.01538462,1,0,6-Oct,1158,1,3.0,0.0,2.0,15.0,12.0,0,0,0.0,1
68,1004644,204644,32727.27273,3,9.75,964.5,B,上市企业,金融业,10+ years,0,1,2016/3/1,4,52,19,26.10545455,0,720.0,840.0,37,0,0.0,41427.69231,46.6,1,0,Feb-98,4,1,12.0,0.0,9.0,57.0,26.0,0,0,0.0,1
69,1048384,248384,10909.09091,3,12.69,335.45,C,普通企业,文化和体育业,7 years,1,2,2015/8/1,0,111,8,9.087272727,0,560.4545455,607.1590909,8,0,0.0,10902.76923,69.89230769,1,0,6-Sep,0,1,5.0,0.0,4.0,8.0,3.0,0,0,0.0,0
70,1027629,227629,20454.54545,3,8.789,783.3,A,政府机构,批发和零售业,10+ years,1,0,2016/11/1,0,107,30,22.57363636,0,785.4545455,916.3636364,11,0,0.0,16076.30769,41.1,1,0,7-Apr,0,1,2.0,0.0,7.0,13.0,7.0,0,0,0.0,0
71,1043632,243632,10636.36364,3,5.32,271.04,A,政府机构,电力、热力生产供应业,10+ years,0,0,2016/3/1,4,460,27,9.196363636,0,796.3636364,929.0909091,8,0,0.0,12051.92308,56.2,0,0,Oct-00,4,1,4.0,0.0,6.0,7.0,3.0,0,0,0.0,0
72,1047623,247623,31818.18182,5,24.695,975.64,F,普通企业,交通运输、仓储和邮政业,10+ years,2,0,2016/1/1,0,291,23,35.74545455,1,613.6363636,767.0454545,20,1,0.0,24308.30769,80.12307692,0,0,Jun-00,0,1,13.0,0.0,13.0,27.0,17.0,0,0,0.0,1
73,1038534,238534,2545.454545,3,18.689,99.82,D,幼教与中小学校,金融业,9 years,1,2,2015/10/1,7,134,8,20.50909091,0,752.7272727,815.4545455,10,0,0.0,9998.153846,47.16923077,0,0,5-Jul,8,1,3.0,0.0,5.0,7.0,3.0,0,0,0.0,0
75,1040053,240053,27500.0,5,12.089,597.78,B,上市企业,公共服务、社会组织,3 years,0,2,2015/6/1,2,90,21,2.7,0,725.4545455,906.8181818,8,1,1.0,8822.0,23.88461538,0,0,4-May,5,1,5.0,0.0,7.0,14.0,7.0,0,0,0.0,0
76,1017976,217976,12272.72727,5,13.67,346.47,C,政府机构,公共服务、社会组织,10+ years,0,1,2016/4/1,0,404,22,6.316363636,0,597.2727273,696.8181818,23,1,1.0,5556.0,28.1,0,0,4-Feb,0,1,2.0,0.0,26.0,13.0,7.0,0,0,0.0,1
77,1037397,237397,2863.636364,3,11.421,117.41,B,幼教与中小学校,文化和体育业,3 years,1,0,2011/10/1,1,19,14,8.1,0,736.3636364,797.7272727,8,0,0.0,50.0,0.6,1,0,7-Apr,3880,1,,,,,,0,0,0.0,0
78,1025395,225395,14545.45455,3,15.389,546.77,C,幼教与中小学校,农、林、牧、渔业,10+ years,1,2,2016/11/1,0,107,30,19.82181818,0,660.0,825.0,13,1,1.0,16388.61538,86.07692308,0,0,Sep-99,0,1,7.0,0.0,4.0,25.0,8.0,0,0,0.0,0
80,1049216,249216,10909.09091,3,17.99,361.48,D,幼教与中小学校,金融业,< 1 year,1,1,2017/3/1,4,343,27,12.01090909,0,568.6363636,710.7954545,11,0,0.0,13140.0,41.53846154,1,0,11-Jun,4,1,4.0,0.0,5.0,9.0,6.0,0,0,0.0,0
81,1006206,206206,32727.27273,3,12.582,1025.04,C,普通企业,采矿业,3 years,0,2,2014/2/1,4,777,8,8.312727273,0,556.3636364,649.0909091,11,0,0.0,13504.0,75.9,1,0,2-Jun,4,1,3.0,0.0,2.0,21.0,16.0,0,0,0.0,0
83,1037037,237037,4545.454545,3,12.639,164.86,B,普通企业,房地产业,8 years,0,1,2017/2/1,0,32,21,20.39090909,0,705.0,763.75,23,0,0.0,25902.15385,25.5,0,0,Oct-85,0,1,10.0,0.0,12.0,19.0,10.0,0,0,0.0,0
84,1046462,246462,35000.0,3,17.171,1223.77,D,上市企业,采矿业,8 years,0,1,2015/4/1,4,104,23,6.785454545,0,640.9090909,747.7272727,21,0,0.0,10675.0,70.10769231,1,0,1-Feb,4,1,4.0,0.0,36.0,6.0,3.0,0,0,0.0,1
86,1009751,209751,13090.90909,3,12.74,402.83,C,普通企业,采矿业,< 1 year,1,1,2017/2/1,0,466,36,14.93181818,1,720.0,780.0,7,0,0.0,14148.0,73.66153846,0,0,7-Apr,0,1,6.0,0.0,1.0,9.0,7.0,0,0,0.0,0
87,1020796,220796,7700.0,3,12.089,252.06,B,政府机构,制造业,< 1 year,1,1,2015/8/1,4,66,14,12.92,0,660.0,715.0,6,1,1.0,8974.615385,67.6,1,0,Aug-00,4,1,3.0,0.0,4.0,14.0,9.0,0,0,0.0,0
88,1026629,226629,25909.09091,5,20.064,727.44,D,普通企业,房地产业,10+ years,2,1,2014/5/1,0,614,3,24.98181818,0,780.0,910.0,9,0,0.0,33769.0,78.11538462,1,0,Apr-99,0,1,7.0,0.0,6.0,20.0,14.0,0,0,0.0,0
92,1022920,222920,9090.909091,3,10.087,318.79,B,幼教与中小学校,建筑业,3 years,0,0,2016/1/1,4,629,20,15.86,3,675.0,731.25,19,0,0.0,9494.769231,56.5,0,0,2-Apr,4,1,13.0,0.0,16.0,21.0,11.0,0,0,0.0,0
93,1003112,203112,9454.545455,5,13.44,238.99,C,政府机构,农、林、牧、渔业,2 years,2,1,2016/1/1,5,17,13,12.88363636,0,585.0,633.75,11,0,0.0,1668.923077,11.8,0,0,8-Oct,6,1,3.0,0.0,7.0,6.0,2.0,0,0,0.0,0
94,1004248,204248,11818.18182,3,16.555,346.9,C,普通企业,住宿和餐饮业,10+ years,1,1,2017/8/1,0,141,13,10.60363636,0,752.7272727,878.1818182,11,0,0.0,5034.0,85.38461538,0,0,May-99,0,1,1.0,0.0,7.0,6.0,3.0,0,0,0.0,1
95,1027929,227929,6000.0,3,14.661,194.16,C,政府机构,建筑业,1 year,0,0,2013/5/1,5,342,21,9.703636364,0,613.6363636,767.0454545,13,0,0.0,8156.615385,32.63076923,1,0,8-Mar,6,1,9.0,0.0,0.0,15.0,10.0,0,0,0.0,1
96,1016760,216760,21818.18182,3,6.633,608.72,A,上市企业,金融业,2 years,0,2,2015/1/1,0,119,0,21.9,0,568.6363636,663.4090909,24,0,0.0,54313.53846,46.61538462,1,0,Apr-77,0,1,10.0,0.0,11.0,38.0,22.0,0,0,0.0,0
97,1027296,227296,23000.0,3,10.026,754.52,B,普通企业,公共服务、社会组织,3 years,0,1,2013/7/1,4,57,9,2.560909091,0,705.0,881.25,13,0,0.0,24421.84615,41.7,1,0,Aug-89,521,1,8.0,0.0,8.0,25.0,21.0,0,0,0.0,1
100,1037747,237747,27190.90909,3,10.503,823.95,B,政府机构,制造业,< 1 year,1,2,2014/10/1,4,390,38,12.52727273,0,568.6363636,710.7954545,11,0,0.0,25702.15385,31.66153846,1,0,Dec-95,4,1,5.0,0.0,1.0,30.0,20.0,0,0,0.0,0
101,1018776,218776,21818.18182,5,18.04,490.63,E,普通企业,住宿和餐饮业,7 years,0,1,2011/2/1,0,800,1,11.99090909,0,589.0909091,638.1818182,22,0,0.0,19183.84615,16.8,1,0,Apr-93,9718,1,,,,,,5,9777,1955.4,0
104,1005668,205668,9600.0,3,16.99,342.22,D,政府机构,金融业,2 years,1,2,2017/2/1,5,380,26,23.80909091,0,763.6363636,827.2727273,4,0,0.0,6959.076923,106.1538462,1,0,2-Oct,6,1,1.0,,8.0,23.0,14.0,1,526,0.0,0
105,1011053,211053,4909.090909,3,5.32,180.69,A,普通企业,金融业,8 years,0,0,2017/10/1,2,290,18,7.57,0,815.0,950.8333333,9,0,0.0,3156.0,5.815384615,0,0,Aug-97,5,1,3.0,0.0,2.0,13.0,11.0,2,1985,595.5,0
107,1002728,202728,23181.81818,5,16.99,528.01,D,上市企业,金融业,2 years,2,2,2013/12/1,2,84,19,15.95454545,3,774.5454545,968.1818182,16,0,0.0,2922.461538,8.861538462,1,0,Aug-83,3921,1,5.0,0.0,16.0,21.0,11.0,0,8078,0.0,0
109,1000654,200654,13636.36364,3,7.551,472.75,B,普通企业,金融业,,0,2,2016/3/1,0,4,3,10.68,0,627.2727273,679.5454545,9,0,0.0,21350.0,78.18461538,0,0,Feb-81,2,1,6.0,0.0,2.0,17.0,12.0,3,2532,506.4,0
110,1015031,215031,34909.09091,3,13.959,1073.44,C,普通企业,建筑业,10+ years,0,2,2015/4/1,0,91,7,11.95636364,0,700.0,816.6666667,7,0,0.0,35625.69231,49.10769231,1,0,3-Aug,0,1,3.0,0.0,8.0,9.0,5.0,2,3062,306.2,0
111,1015175,215175,13236.36364,3,5.841,343.22,A,普通企业,电力、热力生产供应业,10+ years,0,1,2014/10/1,1,380,26,15.99545455,0,700.0,875.0,16,0,0.0,24312.0,35.19230769,0,0,Mar-82,1,1,3.0,0.0,28.0,21.0,18.0,1,2706,541.2,0
113,1034758,234758,16000.0,5,10.07,340.51,B,普通企业,文化和体育业,10+ years,0,1,2018/5/1,2,560,44,10.91818182,0,613.6363636,664.7727273,10,0,0.0,6685.538462,10.73076923,0,0,6-Aug,5,1,5.0,0.0,15.0,7.0,6.0,4,6599,0.0,0
114,1047395,247395,4909.090909,3,7.101,168.95,A,政府机构,房地产业,7 years,0,0,2015/6/1,0,441,9,24.29,0,680.0,850.0,9,0,0.0,17595.84615,67.63076923,0,0,3-Nov,0,1,6.0,0.0,25.0,12.0,2.0,3,2199,439.8,0
116,1020387,220387,15272.72727,5,20.405,431.66,E,世界五百强,批发和零售业,7 years,2,2,2015/6/1,2,36,13,21.78,2,568.6363636,616.0227273,8,0,0.0,5331.846154,61.27692308,0,0,May-98,5,1,5.0,0.0,5.0,6.0,4.0,3,4004,800.8,0
117,1043407,243407,20000.0,3,13.98,683.36,C,普通企业,金融业,9 years,0,1,2014/10/1,0,31,2,26.04272727,0,560.4545455,607.1590909,25,0,0.0,26001.23077,53.73846154,1,0,3-Feb,0,1,20.0,0.0,2.0,31.0,16.0,3,6727,2018.1,0
118,1026794,226794,5318.181818,3,15.99,158.19,C,普通企业,建筑业,10+ years,1,1,2017/3/1,5,205,8,21.99,0,752.7272727,878.1818182,17,0,0.0,11560.61538,63.6,0,0,6-Jul,6,1,10.0,0.0,6.0,17.0,9.0,0,0,0.0,1
119,1008764,208764,12272.72727,3,7.9,469.36,A,政府机构,公共服务、社会组织,5 years,1,0,2012/10/1,0,263,0,21.69818182,0,801.8181818,1002.272727,11,0,0.0,30019.61538,65.04615385,1,0,Jan-00,25262,1,4.0,0.0,5.0,18.0,10.0,3,5010,1002.0,0
120,1003625,203625,20681.81818,5,21.472,458.99,E,普通企业,房地产业,2 years,1,0,2015/2/1,4,418,45,13.77,0,627.2727273,679.5454545,10,0,0.0,24620.76923,76.2,0,0,Oct-96,4,1,7.0,0.0,5.0,13.0,5.0,0,0,0.0,1
121,1020834,220834,20454.54545,5,14.99,594.62,C,普通企业,金融业,< 1 year,0,1,2016/11/1,0,218,0,12.06363636,0,618.1818182,721.2121212,13,0,0.0,23326.15385,71.07692308,0,0,5-Nov,0,1,6.0,0.0,1.0,15.0,7.0,2,7468,2240.4,0
122,1047121,247121,9454.545455,3,16.99,370.74,D,普通企业,房地产业,2 years,0,1,2017/2/1,2,104,23,30.20727273,0,715.0,834.1666667,14,0,0.0,17591.0,35.65384615,0,0,Aug-86,5,1,5.0,0.0,7.0,14.0,10.0,0,0,0.0,1
123,1024759,224759,7200.0,3,12.617,237.33,B,政府机构,电力、热力生产供应业,3 years,0,0,2016/3/1,4,686,37,26.36727273,0,785.4545455,981.8181818,13,0,0.0,9593.076923,42.43076923,0,0,4-Jan,4,1,8.0,0.0,12.0,10.0,5.0,3,3379,337.9,0
124,1036189,236189,4284.090909,3,16.875,132.43,D,政府机构,金融业,10+ years,0,0,2013/6/1,4,434,2,13.84363636,0,725.4545455,785.9090909,13,0,0.0,6140.0,90.80769231,1,0,Apr-90,159,1,12.0,0.0,1.0,32.0,26.0,0,0,0.0,0
125,1048852,248852,16363.63636,5,15.61,482.23,C,普通企业,制造业,< 1 year,0,2,2014/1/1,4,19,14,11.34545455,0,618.1818182,772.7272727,7,1,1.0,21609.53846,59.4,1,0,2-May,605,1,5.0,0.0,6.0,6.0,2.0,0,0,0.0,0
126,1010296,210296,19090.90909,3,14.661,741.31,D,普通企业,住宿和餐饮业,4 years,0,0,2016/3/1,0,64,14,17.17363636,0,752.7272727,878.1818182,10,0,0.0,32989.38462,47.81538462,0,0,May-87,0,1,5.0,0.0,3.0,16.0,8.0,0,0,0.0,0
127,1046079,246079,11818.18182,3,6.92,400.93,A,上市企业,金融业,< 1 year,1,1,2011/3/1,0,289,16,14.74363636,0,681.8181818,795.4545455,10,0,0.0,5535.692308,16.38461538,1,0,May-99,38,1,,,,,,0,0,0.0,0
